,x,y,z,layer,region,type
0,2786.4633701921466,-982.545833014761,-3960.465264092868,Outside,Outside,LineSource
1,2810.5583701921464,-988.584833014761,-3929.112264092868,Outside,Outside,LineSource
2,2834.653370192146,-994.623833014761,-3897.760264092868,Outside,Outside,LineSource
3,2858.7473701921463,-1000.662833014761,-3866.4082640928677,Outside,Outside,LineSource
4,2882.8423701921465,-1006.701833014761,-3835.0552640928677,Outside,Outside,LineSource
5,2906.937370192147,-1012.739833014761,-3803.703264092868,Outside,Outside,LineSource
6,2931.0323701921466,-1018.7798330147609,-3772.3502640928677,Outside,Outside,LineSource
7,2955.1273701921464,-1024.818833014761,-3740.9982640928674,Outside,Outside,LineSource
8,2979.2223701921466,-1030.856833014761,-3709.6462640928676,Outside,Outside,LineSource
9,3003.3173701921464,-1036.895833014761,-3678.2932640928675,Outside,Outside,LineSource
10,3027.4113701921465,-1042.934833014761,-3646.9412640928676,Outside,Outside,LineSource
11,3051.5063701921463,-1048.9738330147609,-3615.589264092868,Outside,Outside,LineSource
12,3075.6013701921465,-1055.0128330147609,-3584.2362640928677,Outside,Outside,LineSource
13,3099.6963701921463,-1061.0518330147609,-3552.884264092868,Outside,Outside,LineSource
14,3123.7913701921466,-1067.0908330147608,-3521.531264092868,Outside,Outside,LineSource
15,3147.8853701921466,-1073.129833014761,-3490.179264092868,Outside,Outside,LineSource
16,3171.9803701921464,-1079.168833014761,-3458.8272640928676,Outside,Outside,LineSource
17,3196.0753701921467,-1085.207833014761,-3427.474264092868,Outside,Outside,LineSource
18,3220.1703701921465,-1091.246833014761,-3396.1222640928677,Outside,Outside,LineSource
19,3244.2643701921465,-1097.285833014761,-3364.7692640928676,Outside,Outside,LineSource
20,3268.3593701921463,-1103.324833014761,-3333.4172640928678,Outside,Outside,LineSource
21,3292.4543701921466,-1109.362833014761,-3302.065264092868,Outside,Outside,LineSource
22,3316.5493701921464,-1115.401833014761,-3270.712264092868,Outside,Outside,LineSource
23,3340.6433701921464,-1121.440833014761,-3239.3602640928675,L6,S1FL,LineSource
24,3364.7383701921462,-1127.479833014761,-3208.007264092868,L6,S1FL,LineSource
25,3388.8333701921465,-1133.518833014761,-3176.6552640928676,L6,S1FL,LineSource
26,3412.9283701921468,-1139.557833014761,-3145.3032640928677,L6,S1FL,LineSource
27,3437.0223701921464,-1145.596833014761,-3113.9502640928677,L6,S1FL,LineSource
28,3461.1173701921466,-1151.635833014761,-3082.598264092868,L6,S1FL,LineSource
29,3485.2123701921464,-1157.674833014761,-3051.2452640928677,L6,S1FL,LineSource
30,3509.3073701921467,-1163.713833014761,-3019.893264092868,L6,S1FL,LineSource
31,3533.4013701921467,-1169.7528330147609,-2988.541264092868,L6,S1FL,LineSource
32,3557.4963701921465,-1175.7918330147609,-2957.188264092868,L6,S1FL,LineSource
33,3581.5913701921463,-1181.8308330147609,-2925.8362640928676,L6,S1FL,LineSource
34,3605.6863701921466,-1187.8698330147608,-2894.483264092868,L6,S1FL,LineSource
35,3629.7813701921464,-1193.908833014761,-2863.1312640928677,L6,S1FL,LineSource
36,3653.8763701921466,-1199.947833014761,-2831.779264092868,L6,S1FL,LineSource
37,3677.9713701921464,-1205.986833014761,-2800.4262640928678,L6,S1FL,LineSource
38,3702.0653701921465,-1212.024833014761,-2769.074264092868,L6,S1FL,LineSource
39,3726.1603701921467,-1218.063833014761,-2737.721264092868,L6,S1FL,LineSource
40,3750.2553701921465,-1224.102833014761,-2706.3692640928675,L6,S1FL,LineSource
41,3774.3503701921463,-1230.141833014761,-2675.0172640928677,L5,S1FL,LineSource
42,3798.4443701921464,-1236.180833014761,-2643.6642640928676,L5,S1FL,LineSource
43,3822.5393701921466,-1242.219833014761,-2612.3122640928677,L5,S1FL,LineSource
44,3846.6343701921464,-1248.258833014761,-2580.9592640928677,L5,S1FL,LineSource
45,3870.7293701921467,-1254.297833014761,-2549.607264092868,L5,S1FL,LineSource
46,3894.8233701921463,-1260.336833014761,-2518.255264092868,L5,S1FL,LineSource
47,3918.9183701921465,-1266.375833014761,-2486.902264092868,L5,S1FL,LineSource
48,3943.0133701921463,-1272.414833014761,-2455.5502640928676,L5,S1FL,LineSource
49,3967.1083701921466,-1278.453833014761,-2424.1982640928677,L5,S1FL,LineSource
50,3991.2023701921466,-1284.492833014761,-2392.8452640928676,L5,S1FL,LineSource
51,4015.2973701921464,-1290.530833014761,-2361.493264092868,L5,S1FL,LineSource
52,4039.3923701921467,-1296.569833014761,-2330.1402640928677,L5,S1FL,LineSource
53,4063.4873701921465,-1302.6088330147609,-2298.788264092868,L4,S1FL,LineSource
54,4087.5813701921466,-1308.6478330147609,-2267.4362640928675,L4,S1FL,LineSource
55,4111.676370192146,-1314.6868330147609,-2236.083264092868,L4,S1FL,LineSource
56,4135.771370192147,-1320.725833014761,-2204.7312640928676,L4,S1FL,LineSource
57,4159.866370192147,-1326.764833014761,-2173.3782640928675,L4,S1FL,LineSource
58,4183.960370192147,-1332.803833014761,-2142.0262640928677,L3,S1FL,LineSource
59,4208.055370192146,-1338.842833014761,-2110.674264092868,L3,S1FL,LineSource
60,4232.1503701921465,-1344.881833014761,-2079.3212640928678,L3,S1FL,LineSource
61,4256.245370192147,-1350.920833014761,-2047.969264092868,L3,S1FL,LineSource
62,4280.340370192146,-1356.959833014761,-2016.6162640928678,L3,S1FL,LineSource
63,4304.435370192146,-1362.998833014761,-1985.2642640928677,L3,S1FL,LineSource
64,4328.530370192147,-1369.037833014761,-1953.9122640928676,L3,S1FL,LineSource
65,4352.625370192147,-1375.076833014761,-1922.5592640928678,L3,S1FL,LineSource
66,4376.719370192146,-1381.115833014761,-1891.2072640928677,L3,S1FL,LineSource
67,4400.814370192146,-1387.153833014761,-1859.8542640928677,L2,S1FL,LineSource
68,4424.9093701921465,-1393.192833014761,-1828.5022640928678,L2,S1FL,LineSource
69,4449.004370192147,-1399.231833014761,-1797.1502640928677,L2,S1FL,LineSource
70,4473.098370192147,-1405.270833014761,-1765.7972640928679,L1,S1FL,LineSource
71,4497.193370192146,-1411.309833014761,-1734.4452640928678,L1,S1FL,LineSource
72,4521.288370192146,-1417.3488330147609,-1703.0922640928677,L1,S1FL,LineSource
73,4545.383370192147,-1423.3878330147609,-1671.7402640928676,L1,S1FL,LineSource
74,4569.477370192147,-1429.4268330147609,-1640.3882640928678,Outside,Outside,LineSource
75,4593.572370192147,-1435.4658330147608,-1609.0352640928677,Outside,Outside,LineSource
76,4617.667370192146,-1441.504833014761,-1577.6832640928678,Outside,Outside,LineSource
77,4641.762370192147,-1447.543833014761,-1546.3302640928678,Outside,Outside,LineSource
78,4665.856370192147,-1453.582833014761,-1514.978264092868,Outside,Outside,LineSource
79,4689.951370192146,-1459.621833014761,-1483.6262640928678,Outside,Outside,LineSource
80,4714.046370192146,-1465.660833014761,-1452.2732640928677,Outside,Outside,LineSource
81,4738.1413701921465,-1471.698833014761,-1420.9212640928677,Outside,Outside,LineSource
82,4762.235370192147,-1477.737833014761,-1389.5682640928678,Outside,Outside,LineSource
83,4786.330370192147,-1483.776833014761,-1358.2162640928677,Outside,Outside,LineSource
84,4810.425370192146,-1489.815833014761,-1326.8642640928679,Outside,Outside,LineSource
85,4834.520370192146,-1495.854833014761,-1295.5112640928678,Outside,Outside,LineSource
86,4858.614370192146,-1501.893833014761,-1264.1592640928677,Outside,Outside,LineSource
87,4882.709370192147,-1507.932833014761,-1232.8072640928679,Outside,Outside,LineSource
88,4906.804370192147,-1513.971833014761,-1201.4542640928678,Outside,Outside,LineSource
89,4930.899370192146,-1520.010833014761,-1170.1022640928677,Outside,Outside,LineSource
90,4954.993370192146,-1526.049833014761,-1138.7492640928679,Outside,Outside,LineSource
91,4979.089370192147,-1532.088833014761,-1107.3972640928678,Outside,Outside,LineSource
92,5003.184370192146,-1538.1278330147609,-1076.0452640928677,Outside,Outside,LineSource
93,5027.279370192146,-1544.1668330147609,-1044.6922640928678,Outside,Outside,LineSource
94,5051.3733701921465,-1550.205833014761,-1013.3402640928678,Outside,Outside,LineSource
95,5075.468370192147,-1556.2448330147608,-981.9872640928677,Outside,Outside,LineSource
96,2802.4003701921465,-970.044833014761,-3944.7892640928676,Outside,Outside,LineSource
97,2826.4953701921468,-976.083833014761,-3913.4362640928675,Outside,Outside,LineSource
98,2850.5903701921466,-982.122833014761,-3882.0842640928677,Outside,Outside,LineSource
99,2874.684370192146,-988.161833014761,-3850.7312640928676,Outside,Outside,LineSource
100,2898.7793701921464,-994.200833014761,-3819.3792640928677,Outside,Outside,LineSource
101,2922.8753701921464,-1000.239833014761,-3788.027264092868,Outside,Outside,LineSource
102,2946.970370192146,-1006.278833014761,-3756.674264092868,Outside,Outside,LineSource
103,2971.0643701921463,-1012.3178330147609,-3725.322264092868,Outside,Outside,LineSource
104,2995.1593701921465,-1018.3568330147609,-3693.969264092868,Outside,Outside,LineSource
105,3019.2543701921463,-1024.395833014761,-3662.617264092868,Outside,Outside,LineSource
106,3043.3493701921466,-1030.434833014761,-3631.2652640928677,Outside,Outside,LineSource
107,3067.4433701921466,-1036.4738330147609,-3599.9122640928676,Outside,Outside,LineSource
108,3091.5383701921464,-1042.5128330147609,-3568.560264092868,Outside,Outside,LineSource
109,3115.6333701921467,-1048.5518330147609,-3537.2082640928675,Outside,Outside,LineSource
110,3139.7283701921465,-1054.5898330147609,-3505.855264092868,Outside,Outside,LineSource
111,3163.8223701921465,-1060.6288330147609,-3474.5032640928675,Outside,Outside,LineSource
112,3187.9173701921463,-1066.667833014761,-3443.1502640928675,Outside,Outside,LineSource
113,3212.0123701921466,-1072.7068330147608,-3411.7982640928676,Outside,Outside,LineSource
114,3236.1073701921464,-1078.745833014761,-3380.4462640928678,Outside,Outside,LineSource
115,3260.2013701921464,-1084.784833014761,-3349.0932640928677,Outside,Outside,LineSource
116,3284.2963701921462,-1090.823833014761,-3317.741264092868,Outside,Outside,LineSource
117,3308.3913701921465,-1096.862833014761,-3286.3882640928678,Outside,Outside,LineSource
118,3332.4863701921468,-1102.901833014761,-3255.036264092868,Outside,Outside,LineSource
119,3356.5803701921463,-1108.940833014761,-3223.684264092868,L6,S1FL,LineSource
120,3380.6753701921466,-1114.979833014761,-3192.331264092868,L6,S1FL,LineSource
121,3404.7703701921464,-1121.018833014761,-3160.9792640928677,L6,S1FL,LineSource
122,3428.8653701921467,-1127.057833014761,-3129.626264092868,L6,S1FL,LineSource
123,3452.9593701921467,-1133.096833014761,-3098.2742640928677,L6,S1FL,LineSource
124,3477.0543701921465,-1139.134833014761,-3066.922264092868,L6,S1FL,LineSource
125,3501.1493701921463,-1145.173833014761,-3035.569264092868,L6,S1FL,LineSource
126,3525.2443701921466,-1151.212833014761,-3004.2172640928675,L6,S1FL,LineSource
127,3549.3383701921466,-1157.251833014761,-2972.864264092868,L6,S1FL,LineSource
128,3573.4333701921464,-1163.290833014761,-2941.5122640928676,L6,S1FL,LineSource
129,3597.5283701921467,-1169.3298330147609,-2910.1602640928677,L6,S1FL,LineSource
130,3621.6243701921467,-1175.3688330147609,-2878.8072640928676,L6,S1FL,LineSource
131,3645.7183701921467,-1181.4078330147609,-2847.4552640928678,L6,S1FL,LineSource
132,3669.8133701921465,-1187.446833014761,-2816.1022640928677,L6,S1FL,LineSource
133,3693.9083701921463,-1193.485833014761,-2784.750264092868,L6,S1FL,LineSource
134,3718.0033701921466,-1199.524833014761,-2753.398264092868,L6,S1FL,LineSource
135,3742.0973701921466,-1205.563833014761,-2722.045264092868,L6,S1FL,LineSource
136,3766.1923701921464,-1211.602833014761,-2690.6932640928676,L5,S1FL,LineSource
137,3790.2873701921467,-1217.641833014761,-2659.340264092868,L5,S1FL,LineSource
138,3814.3823701921465,-1223.680833014761,-2627.9882640928677,L5,S1FL,LineSource
139,3838.4763701921465,-1229.719833014761,-2596.636264092868,L5,S1FL,LineSource
140,3862.5713701921463,-1235.757833014761,-2565.2832640928677,L5,S1FL,LineSource
141,3886.6663701921466,-1241.796833014761,-2533.931264092868,L5,S1FL,LineSource
142,3910.7613701921464,-1247.835833014761,-2502.578264092868,L5,S1FL,LineSource
143,3934.8553701921464,-1253.874833014761,-2471.226264092868,L5,S1FL,LineSource
144,3958.9503701921467,-1259.913833014761,-2439.8742640928676,L5,S1FL,LineSource
145,3983.0453701921465,-1265.952833014761,-2408.5212640928676,L5,S1FL,LineSource
146,4007.1403701921463,-1271.991833014761,-2377.1692640928677,L5,S1FL,LineSource
147,4031.2343701921463,-1278.030833014761,-2345.817264092868,L5,S1FL,LineSource
148,4055.3293701921466,-1284.069833014761,-2314.464264092868,L5,S1FL,LineSource
149,4079.4243701921464,-1290.1088330147609,-2283.112264092868,L4,S1FL,LineSource
150,4103.519370192146,-1296.1478330147609,-2251.759264092868,L4,S1FL,LineSource
151,4127.613370192146,-1302.1868330147609,-2220.407264092868,L4,S1FL,LineSource
152,4151.7083701921465,-1308.225833014761,-2189.0552640928677,L4,S1FL,LineSource
153,4175.803370192147,-1314.264833014761,-2157.7022640928676,L3,S1FL,LineSource
154,4199.898370192146,-1320.3028330147608,-2126.3502640928677,L3,S1FL,LineSource
155,4223.992370192146,-1326.341833014761,-2094.9972640928677,L3,S1FL,LineSource
156,4248.087370192146,-1332.380833014761,-2063.645264092868,L3,S1FL,LineSource
157,4272.182370192147,-1338.419833014761,-2032.2932640928677,L3,S1FL,LineSource
158,4296.278370192146,-1344.458833014761,-2000.940264092868,L3,S1FL,LineSource
159,4320.372370192146,-1350.497833014761,-1969.5882640928678,L3,S1FL,LineSource
160,4344.4673701921465,-1356.536833014761,-1938.2352640928677,L3,S1FL,LineSource
161,4368.562370192147,-1362.575833014761,-1906.8832640928676,L3,S1FL,LineSource
162,4392.657370192146,-1368.614833014761,-1875.5312640928678,L2,S1FL,LineSource
163,4416.751370192146,-1374.653833014761,-1844.1782640928677,L2,S1FL,LineSource
164,4440.846370192146,-1380.692833014761,-1812.8262640928679,L2,S1FL,LineSource
165,4464.941370192147,-1386.731833014761,-1781.4732640928678,L2,S1FL,LineSource
166,4489.036370192147,-1392.770833014761,-1750.1212640928677,L1,S1FL,LineSource
167,4513.130370192146,-1398.809833014761,-1718.7692640928676,L1,S1FL,LineSource
168,4537.225370192146,-1404.8488330147609,-1687.4162640928678,L1,S1FL,LineSource
169,4561.320370192147,-1410.8878330147609,-1656.0642640928677,L1,S1FL,LineSource
170,4585.415370192147,-1416.9258330147609,-1624.7112640928676,Outside,Outside,LineSource
171,4609.509370192147,-1422.9648330147609,-1593.3592640928678,Outside,Outside,LineSource
172,4633.604370192146,-1429.0038330147609,-1562.007264092868,Outside,Outside,LineSource
173,4657.6993701921465,-1435.042833014761,-1530.6542640928678,Outside,Outside,LineSource
174,4681.794370192147,-1441.0818330147608,-1499.3022640928677,Outside,Outside,LineSource
175,4705.888370192147,-1447.120833014761,-1467.949264092868,Outside,Outside,LineSource
176,4729.983370192146,-1453.159833014761,-1436.5972640928678,Outside,Outside,LineSource
177,4754.078370192146,-1459.198833014761,-1405.2452640928677,Outside,Outside,LineSource
178,4778.173370192147,-1465.237833014761,-1373.8922640928677,Outside,Outside,LineSource
179,4802.267370192147,-1471.276833014761,-1342.5402640928678,Outside,Outside,LineSource
180,4826.362370192146,-1477.315833014761,-1311.1872640928677,Outside,Outside,LineSource
181,4850.457370192146,-1483.354833014761,-1279.8352640928676,Outside,Outside,LineSource
182,4874.552370192147,-1489.393833014761,-1248.4832640928678,Outside,Outside,LineSource
183,4898.646370192147,-1495.431833014761,-1217.1302640928677,Outside,Outside,LineSource
184,4922.741370192147,-1501.470833014761,-1185.7782640928679,Outside,Outside,LineSource
185,4946.836370192146,-1507.509833014761,-1154.4262640928678,Outside,Outside,LineSource
186,4970.932370192147,-1513.549833014761,-1123.0732640928677,Outside,Outside,LineSource
187,4995.026370192147,-1519.587833014761,-1091.7212640928678,Outside,Outside,LineSource
188,5019.121370192146,-1525.626833014761,-1060.3682640928678,Outside,Outside,LineSource
189,5043.216370192146,-1531.665833014761,-1029.0162640928677,Outside,Outside,LineSource
190,5067.311370192147,-1537.7048330147609,-997.6642640928678,Outside,Outside,LineSource
191,5091.405370192147,-1543.743833014761,-966.3112640928678,Outside,Outside,LineSource
